"All Antimicrobial Agents
List of all antimicrobial agents used in DOT Calculator",,,,,,,"All Drug Product Doses
List of available antimicrobial agents and doses used in Drug Doses Calculator",,,,,,,,"All Drug Products
Full list of available antimicrobial agents, doses, and formulations used in Drug Product Calculator ",,,,,,,,,Drug Frequency Conversions,,,Distance Comparisons,,,,Drug Doses per Day,
Drug Product,Admin Method,Total CO2e per Dose,Total CO2e per DOT,Total Weight per Dose,Total Weight per DOT,,Drug Product,Admin Method,Dose,Total CO2e per Dose,Total CO2e per DOT,Total Weight per Dose,Total Weight per DOT,,Drug Product,Admin Method,Dose,Form,Total CO2e per Dose,Total CO2e per DOT,Total Weight per Dose,Total Weight per DOT,,Frequency,Conversion,,Distance Lower Range (miles),Distance Upper Range (miles),Comparable Distance,,Drug,Doses per Day
Acyclovir,IV,0.0000103621198,0.0000310863593,0.115,0.346,,Acyclovir,IV,250 mg,0.0000085075686,0.0000255227057,0.091,0.273,,Acyclovir,IV,250 mg,locally compounded,0.0000085075686,0.0000255227057,0.091,0.273,,Every 4 hours (q4h),6,,0,5,Average Ride-Share Distance,,Acyclovir,3
Amikacin,IV,0.0000093394867,0.0000280184602,0.098,0.295,,Acyclovir,IV,500 mg,0.0000086325537,0.0000258976612,0.097,0.290,,Acyclovir,IV,500 mg,locally compounded,0.0000086325537,0.0000258976612,0.097,0.290,,Every 6 hours (q6h),4,,5,6,Height of Mount Everest ,,Amikacin,3
Amphotericin B liposomal (Ambisome),IV,0.0001805256177,0.0001805256177,0.792,0.792,,Acyclovir,IV,750 mg,0.0000123770579,0.0000371311737,0.136,0.408,,Acyclovir,IV,750 mg,locally compounded,0.0000123770579,0.0000371311737,0.136,0.408,,Every 8 hours (q8h),3,,6,6.3,10K Race Distance,,Amphotericin B liposomal (Ambisome),1
Ampicillin,IV,0.0000072578110,0.0000435468662,0.089,0.531,,Acyclovir,IV,1000 mg,0.0000119312989,0.0000357938967,0.138,0.413,,Acyclovir,IV,1000 mg,locally compounded,0.0000119312989,0.0000357938967,0.138,0.413,,Every 12 hours (q12h),2,,6.3,7,Empire State Building → Statue of Liberty,,Ampicillin,6
Ampicillin-sulbactam,IV,0.0000089084922,0.0000356339690,0.092,0.367,,Amikacin,IV,1200 mg,0.0000093394867,0.0000280184602,0.098,0.295,,Amikacin,IV,1200 mg,locally compounded,0.0000093394867,0.0000280184602,0.098,0.295,,Every 24 hours (q24h),1,,7,8,Yosemite Valley Length,,Ampicillin-sulbactam,4
Azithromycin,IV,0.0000147005147,0.0000147005147,0.195,0.195,,Amphotericin B liposomal (Ambisome) ,IV,480 mg,0.0001805256177,0.0001805256177,0.792,0.792,,Amphotericin B liposomal (Ambisome) ,IV,480 mg,locally compounded,0.0001805256177,0.0001805256177,0.792,0.792,,Every 48 hours (q48h),0.5,,8,10,Average Car Trip Distance,,Azithromycin,1
Aztreonam,IV,0.0000097394859,0.0000292184578,0.111,0.332,,Ampicillin,IV,2 g,0.0000072578110,0.0000435468662,0.089,0.531,,Ampicillin,IV,2 g,mini-bag plus,0.0000072578110,0.0000435468662,0.089,0.531,,,,,10,13,Manhatten → Brooklyn ,,Aztreonam,3
Caspofungin,IV,0.0000157622917,0.0000157622917,0.211,0.211,,Ampicillin-sulbactam,IV,1.5 g,0.0000092893710,0.0000371574840,0.089,0.355,,Ampicillin-sulbactam,IV,1.5 g,mini-bag plus,0.0000092893710,0.0000371574840,0.089,0.355,,,,,13,14,Manhattan Length,,Caspofungin,1
Cefazolin,IV,0.0000078172911,0.0000172825650,0.116,0.207,,Ampicillin-sulbactam,IV,3 g,0.0000085276135,0.0000341104540,0.094,0.378,,Ampicillin-sulbactam,IV,3 g,mini-bag plus,0.0000085276135,0.0000341104540,0.094,0.378,,,,,14,16,San Francisco → Oakland,,Cefazolin,3
