item,plastic (g),Notes
Wrapping (Premix),,
Wrapping (50mL Duplex),,
Vial,,
Vial Cap,,
Syringe,10,
Needle,0,
Needle Cap,2,
Needle Hub,2,Including the wrapping for the needle 
5-Micron Filter,7,
50mL IVPB,28.1,
100mL IVPB,56.2,
150mL IVPB,84.3,
250mL IVPB,140.5,
300mL IVPB,18.6,
500mL IVPB,281,
1000mL IVPB,562,Assuming 1L NS = 2.2lb (998g)
IV Tubing,53,
Flush,10,
Admin Cup,1,
Bag Label,0,
Unit Dose Ziploc,1,
Blister Card,0.38,
Oral Syringe,10,Assuming same as IV Compounding syringe (10mL)?
Oral Syringe Cap,,
473 Suspension Bottle,31,
